,total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,sk1_classroom,sk2_classroom,sk5_classroom,sk3_classroom,sk4_classroom,Approved
0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1600.0,"2,1","2,4","3,5","3,6","1,7",0
1,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,592.0,"0,3","0,3",0,"0,1","0,2",0
2,2.0,4.0,3.0,9.0,0.0,16.0,1.0,8.0,1110.0,8,5,5,7,5,1
3,5.0,1.0,3.0,9.0,2.0,11.0,0.0,8.0,8651.0,6,5,4,6,4,1
4,14.0,6.0,15.0,28.0,0.0,50.0,0.0,45.0,34172.0,"8,7",9,"6,5",10,"8,8",1
5,9.0,3.0,9.0,16.0,7.0,21.0,0.0,17.0,14985.0,"5,1",6,5,"7,5","8,6",1
6,15.0,10.0,21.0,21.0,1.0,34.0,0.0,37.0,25897.0,"4,7",5,2,5,"8,8",1
7,8.0,9.0,21.0,20.0,0.0,31.0,0.0,28.0,9476.0,"5,3","5,7",4,"5,7","8,4",1
8,6.0,3.0,12.0,13.0,0.0,24.0,0.0,19.0,43612.0,10,"8,4",10,10,"9,6",1
9,4.0,4.0,1.0,3.0,0.0,15.0,0.0,14.0,4791.0,"2,3","2,6",1,"2,9",7,0
10,5.0,1.0,3.0,6.0,0.0,16.0,0.0,20.0,18063.0,"5,2","5,1",5,"7,3","8,6",1
11,4.0,1.0,0.0,1.0,0.0,13.0,0.0,10.0,7269.0,"5,8","6,7",7,"6,7","8,4",1
12,4.0,3.0,1.0,4.0,0.0,21.0,0.0,19.0,8900.0,"7,2",6,5,"8,3","9,6",1
13,7.0,2.0,8.0,20.0,0.0,16.0,0.0,29.0,16753.0,"9,3","8,4",10,10,10,1
14,5.0,1.0,0.0,4.0,0.0,8.0,0.0,24.0,17348.0,"7,7","6,4",9,"9,3","8,8",1
15,2.0,2.0,1.0,7.0,1.0,9.0,0.0,8.0,4152.0,7,5,5,6,"8,7",1
